StanFunction;Arguments;ReturnType;Documentation;
logistic_cdf;(reals y | reals mu, reals sigma);real;The logistic cumulative distribution function of y given location mu\nand scale sigma\n;
logistic_lcdf;(reals y | reals mu, reals sigma);real;The log of the logistic cumulative distribution function of y given\nlocation mu and scale sigma\n;
logistic_lccdf;(reals y | reals mu, reals sigma);real;The log of the logistic complementary cumulative distribution function\nof y given location mu and scale sigma\n;
logistic_rng;(reals mu, reals sigma);R;Generate a logistic variate with location mu and scale sigma may only\nbe used in transformed data and generated quantities blocks.\nFor a description of argument and return types, see section\n[vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
gumbel;~;real;Increment target log probability density with `gumbel_lupdf(y | mu, beta)`.;
gumbel_lpdf;(reals y | reals mu, reals beta);real;The log of the gumbel density of y given location mu and scale beta\n;
gumbel_lupdf;(reals y | reals mu, reals beta);real;The log of the gumbel density of y given location mu and scale beta\ndropping constant additive terms\n;
gumbel_cdf;(reals y | reals mu, reals beta);real;The gumbel cumulative distribution function of y given location mu and\nscale beta\n;
gumbel_lcdf;(reals y | reals mu, reals beta);real;The log of the gumbel cumulative distribution function of y given\nlocation mu and scale beta\n;
gumbel_lccdf;(reals y | reals mu, reals beta);real;The log of the gumbel complementary cumulative distribution function\nof y given location mu and scale beta\n;
gumbel_rng;(reals mu, reals beta);R;Generate a gumbel variate with location mu and scale beta may only be\nused in transformed data and generated quantities blocks. For a description\nof argument and return types, see section\n[vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
skew_double_exponential;~;real;Increment target log probability density with `skew_double_exponential(y | mu, sigma, tau)`;
skew_double_exponential_lpdf;(reals y | reals mu, reals sigma, reals tau);real;The log of the skew double exponential density of y given location mu, scale sigma and skewness tau\n;
skew_double_exponential_lupdf;(reals y | reals mu, reals sigma, reals tau);real;The log of the skew double exponential density of y given location mu, scale sigma and skewness tau dropping constant additive terms\n;
skew_double_exponential_cdf;(reals y | reals mu, reals sigma, reals tau);real;The skew double exponential cumulative distribution function of y given\nlocation mu, scale sigma and skewness tau\n;
skew_double_exponential_lcdf;(reals y | reals mu, reals sigma, reals tau);real;The log of the skew double exponential cumulative distribution function of\ny given location mu, scale sigma and skewness tau\n;
skew_double_exponential_lccdf;(reals y | reals mu, reals sigma, reals tau);real;The log of the skew double exponential complementary cumulative\ndistribution function of y given location mu, scale sigma and skewness tau\n;
skew_double_exponential_rng;(reals mu, reals sigma);R;Generate a skew double exponential variate with location mu, scale\nsigma and skewness tau may only be used in transformed data and generated quantities blocks. For a\ndescription of argument and return types, see section\n[vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
cov_exp_quad;(row_vectors x, real alpha, real rho);matrix;The covariance matrix with an exponentiated quadratic kernel of x.\n;
cov_exp_quad;(vectors x, real alpha, real rho);matrix;The covariance matrix with an exponentiated quadratic kernel of x.\n;
cov_exp_quad;(array[] real x, real alpha, real rho);matrix;The covariance matrix with an exponentiated quadratic kernel of x.\n;
cov_exp_quad;(row_vectors x1, row_vectors x2, real alpha, real rho);matrix;The covariance matrix with an exponentiated quadratic kernel of x1 and\nx2.\n;
cov_exp_quad;(vectors x1, vectors x2, real alpha, real rho);matrix;The covariance matrix with an exponentiated quadratic kernel of x1 and\nx2.\n;
cov_exp_quad;(array[] real x1, array[] real x2, real alpha, real rho);matrix;The covariance matrix with an exponentiated quadratic kernel of x1 and\nx2.\n;
binomial;~;real;{{< since 2.0 >}};
binomial_lpmf;(ints n | ints N, reals theta);real;The log binomial probability mass of n successes in N trials given\nchance of success theta\n;
binomial_lupmf;(ints n | ints N, reals theta);real;The log binomial probability mass of n successes in N trials given\nchance of success theta dropping constant additive terms\n;
binomial_cdf;(ints n | ints N, reals theta);real;The binomial cumulative distribution function of n successes in N\ntrials given chance of success theta\n;
binomial_lcdf;(ints n | ints N, reals theta);real;The log of the binomial cumulative distribution function of n\nsuccesses in N trials given chance of success theta\n;
binomial_lccdf;(ints n | ints N, reals theta);real;The log of the binomial complementary cumulative distribution function\nof n successes in N trials given chance of success theta\n;
binomial_rng;(ints N, reals theta);R;Generate a binomial variate with N trials and chance of success theta\nmay only be used in transformed data and generated quantities blocks.\nFor a description of argument and return types, see section\n[vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
binomial_logit;~;real;Increment target log probability density with `binomial_logit_lupmf(n | N, alpha)`.;
binomial_logit_lpmf;(ints n | ints N, reals alpha);real;The log binomial probability mass of n successes in N trials given\nlogit-scaled chance of success alpha\n;
binomial_logit_lupmf;(ints n | ints N, reals alpha);real;The log binomial probability mass of n successes in N trials given\nlogit-scaled chance of success alpha dropping constant additive terms\n;
binomial_logit_glm;~;real;{{< since 2.34 >}};
binomial_logit_glm_lpmf;(int n | int N, matrix x, real alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)`.\n;
binomial_logit_glm_lupmf;(int n | int N, matrix x, real alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)` dropping constant additive terms.\n;
binomial_logit_glm_lpmf;(int n | int N, matrix x, vector alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)`.\n;
binomial_logit_glm_lupmf;(int n | int N, matrix x, vector alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)` dropping constant additive terms.\n;
binomial_logit_glm_lpmf;(array[] int n | array[] int N, row_vector x, real alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)`.\n;
binomial_logit_glm_lupmf;(array[] int n | array[] int N, row_vector x, real alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)` dropping constant additive terms.\n;
binomial_logit_glm_lpmf;(array[] int n | array[] int N, row_vector x, vector alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)`.\n;
binomial_logit_glm_lupmf;(array[] int n | array[] int N, row_vector x, vector alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)` dropping constant additive terms.\n;
binomial_logit_glm_lpmf;(array[] int n | array[] int N, matrix x, real alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)`.\n;
binomial_logit_glm_lupmf;(array[] int n | array[] int N, matrix x, real alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)` dropping constant additive terms.\n;
binomial_logit_glm_lpmf;(array[] int n | array[] int N, matrix x, vector alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)`.\n;
binomial_logit_glm_lupmf;(array[] int n | array[] int N, matrix x, vector alpha, vector beta);real;The log binomial probability mass of n given N trials and chance of success\n`inv_logit(alpha + x * beta)` dropping constant additive terms.\n;
beta_binomial;~;real;Increment target log probability density with `beta_binomial_lupmf(n | N, alpha, beta)`.;
beta_binomial_lpmf;(ints n | ints N, reals alpha, reals beta);real;The log beta-binomial probability mass of n successes in N trials\ngiven prior success count (plus one) of alpha and prior failure count\n(plus one) of beta\n;
beta_binomial_lupmf;(ints n | ints N, reals alpha, reals beta);real;The log beta-binomial probability mass of n successes in N trials\ngiven prior success count (plus one) of alpha and prior failure count\n(plus one) of beta dropping constant additive terms\n;
beta_binomial_cdf;(ints n | ints N, reals alpha, reals beta);real;The beta-binomial cumulative distribution function of n successes in N\ntrials given prior success count (plus one) of alpha and prior failure\ncount (plus one) of beta\n;
beta_binomial_lcdf;(ints n | ints N, reals alpha, reals beta);real;The log of the beta-binomial cumulative distribution function of n\nsuccesses in N trials given prior success count (plus one) of alpha\nand prior failure count (plus one) of beta\n;
beta_binomial_lccdf;(ints n | ints N, reals alpha, reals beta);real;The log of the beta-binomial complementary cumulative distribution\nfunction of n successes in N trials given prior success count (plus\none) of alpha and prior failure count (plus one) of beta\n;
beta_binomial_rng;(ints N, reals alpha, reals beta);R;Generate a beta-binomial variate with N trials, prior success count\n(plus one) of alpha, and prior failure count (plus one) of beta may\nonly be used in transformed data and generated quantities blocks.\nFor a description of argument and return types, see section\n[vectorized PRNG functions](conventions_for_probability_functions.qmd#prng-vectorization).\n;
hypergeometric;~;real;Increment target log probability density with `hypergeometric_lupmf(n | N, a, b)`.;
hypergeometric_lpmf;(int n | int N, int a, int b);real;The log hypergeometric probability mass of n successes in N trials\ngiven total success count of a and total failure count of b\n;
hypergeometric_lupmf;(int n | int N, int a, int b);real;The log hypergeometric probability mass of n successes in N trials\ngiven total success count of a and total failure count of b dropping constant\nadditive terms\n;
hypergeometric_rng;(int N, int a, int2 b);int;Generate a hypergeometric variate with N trials, total success count\nof a, and total failure count of b may only be used in transformed data and\ngenerated quantities blocks\n;
categorical;~;real;dropping constant additive terms.;
categorical_logit;~;real;Increment target log probability density with `categorical_logit_lupmf(y | beta)`.;
categorical_lpmf;(ints y | vector theta);real;The log categorical probability mass function with outcome(s) y in\n$1:N$ given $N$-vector of outcome probabilities theta. The parameter\ntheta must have non-negative entries that sum to one, but it need not\nbe a variable declared as a simplex.\n;
categorical_lupmf;(ints y | vector theta);real;The log categorical probability mass function with outcome(s) y in\n$1:N$ given $N$-vector of outcome probabilities theta dropping constant\nadditive terms. The parameter theta must have non-negative entries that sum\nto one, but it need not be a variable declared as a simplex.\n;
categorical_logit_lpmf;(ints y | vector beta);real;The log categorical probability mass function with outcome(s) y in\n$1:N$ given log-odds of outcomes beta.\n;
categorical_logit_lupmf;(ints y | vector beta);real;The log categorical probability mass function with outcome(s) y in\n$1:N$ given log-odds of outcomes beta dropping constant additive terms.\n;
categorical_rng;(vector theta);int;Generate a categorical variate with $N$-simplex distribution parameter\ntheta may only be used in transformed data and generated quantities blocks\n;
categorical_logit_rng;(vector beta);int;Generate a categorical variate with outcome in range $1:N$ from\nlog-odds vector beta may only be used in transformed data and generated\nquantities blocks\n;
categorical_logit_glm;~;real;Increment target log probability density with `categorical_logit_glm_lupmf(y | x, alpha, beta)`.;
categorical_logit_glm_lpmf;(int y | row_vector x, vector alpha, matrix beta);real;The log categorical probability mass function with outcome `y` in\n$1:N$ given $N$-vector of log-odds of outcomes `alpha + x * beta`.\n;
categorical_logit_glm_lupmf;(int y | row_vector x, vector alpha, matrix beta);real;The log categorical probability mass function with outcome `y` in\n$1:N$ given $N$-vector of log-odds of outcomes `alpha + x * beta`\ndropping constant additive terms.\n;
categorical_logit_glm_lpmf;(int y | matrix x, vector alpha, matrix beta);real;The log categorical probability mass function with outcomes `y` in\n$1:N$ given $N$-vector of log-odds of outcomes `alpha + x * beta`.\n;
categorical_logit_glm_lupmf;(int y | matrix x, vector alpha, matrix beta);real;The log categorical probability mass function with outcomes `y` in\n$1:N$ given $N$-vector of log-odds of outcomes `alpha + x * beta`\ndropping constant additive terms.\n;
categorical_logit_glm_lpmf;(array[] int y | row_vector x, vector alpha, matrix beta);real;The log categorical probability mass function with outcomes `y` in\n$1:N$ given $N$-vector of log-odds of outcomes `alpha + x * beta`.\n;
categorical_logit_glm_lupmf;(array[] int y | row_vector x, vector alpha, matrix beta);real;The log categorical probability mass function with outcomes `y` in\n$1:N$ given $N$-vector of log-odds of outcomes `alpha + x * beta`\ndropping constant additive terms.\n;
categorical_logit_glm_lpmf;(array[] int y | matrix x, vector alpha, matrix beta);real;The log categorical probability mass function with outcomes `y` in\n$1:N$ given $N$-vector of log-odds of outcomes `alpha + x * beta`.\n;
categorical_logit_glm_lupmf;(array[] int y | matrix x, vector alpha, matrix beta);real;The log categorical probability mass function with outcomes `y` in\n$1:N$ given $N$-vector of log-odds of outcomes `alpha + x * beta`\ndropping constant additive terms.\n;
discrete_range;~;real;dropping constant additive terms.;
discrete_range_lpmf;(ints y | ints l, ints u);real;The log probability mass function with outcome(s) y in $l:u$.\n;
discrete_range_lupmf;(ints y | ints l, ints u);real;The log probability mass function with outcome(s) y in $l:u$\ndropping constant additive terms.\n;
discrete_range_cdf;(ints y | ints l, ints u);real;The discrete range cumulative distribution function\nfor the given y, lower and upper bounds.\n;
discrete_range_lcdf;(ints y | ints l, ints u);real;The log of the discrete range cumulative distribution function\nfor the given y, lower and upper bounds.\n;
discrete_range_lccdf;(ints y | ints l, ints u);real;The log of the discrete range complementary cumulative distribution function\nfor the given y, lower and upper bounds.\n;
discrete_range_rng;(ints l, ints u);int;Generate a discrete variate between the given lower and upper bounds\nmay only be used in transformed data and generated quantities blocks.\n;
ordered_logistic;~;real;Increment target log probability density with `ordered_logistic_lupmf(y | x, beta, c)`.;
ordered_logistic_lpmf;(ints k | vector eta, vectors c);real;The log ordered logistic probability mass of k given linear predictors\n`eta`, and cutpoints `c`.\n;
ordered_logistic_lupmf;(ints k | vector eta, vectors c);real;The log ordered logistic probability mass of k given linear predictors\n`eta`, and cutpoints `c` dropping constant additive terms.\n;
ordered_logistic_rng;(real eta, vector c);int;Generate an ordered logistic variate with linear predictor `eta` and\ncutpoints `c` may only be used in transformed data and generated quantities blocks\n;
ordered_logistic_glm_lpmf;(int y | row_vector x, vector beta, vector c);real;The log ordered logistic probability mass of y, given linear predictors `x * beta`, and cutpoints c.\nThe cutpoints `c` must be ordered.\n;
ordered_logistic_glm_lupmf;(int y | row_vector x, vector beta, vector c);real;The log ordered logistic probability mass of y, given linear predictors\n`x * beta`, and cutpoints c dropping constant additive terms. The cutpoints\n`c` must be ordered.\n;
ordered_logistic_glm_lpmf;(int y | matrix x, vector beta, vector c);real;The log ordered logistic probability mass of y, given linear predictors `x * beta`, and cutpoints c.\nThe cutpoints `c` must be ordered.\n;
ordered_logistic_glm_lupmf;(int y | matrix x, vector beta, vector c);real;The log ordered logistic probability mass of y, given linear predictors\n`x * beta`, and cutpoints c dropping constant additive terms. The cutpoints\n`c` must be ordered.\n;
ordered_logistic_glm_lpmf;(array[] int y | row_vector x, vector beta, vector c);real;The log ordered logistic probability mass of y, given linear predictors `x * beta`, and cutpoints c.\nThe cutpoints `c` must be ordered.\n;
ordered_logistic_glm_lupmf;(array[] int y | row_vector x, vector beta, vector c);real;The log ordered logistic probability mass of y, given linear predictors\n`x * beta`, and cutpoints c dropping constant additive terms. The cutpoints\n`c` must be ordered.\n;
ordered_logistic_glm_lpmf;(array[] int y | matrix x, vector beta, vector c);real;The log ordered logistic probability mass of y, given linear predictors\n`x * beta`, and cutpoints c. The cutpoints `c` must be ordered.\n;
ordered_logistic_glm_lupmf;(array[] int y | matrix x, vector beta, vector c);real;The log ordered logistic probability mass of y, given linear predictors\n`x * beta`, and cutpoints c dropping constant additive terms. The cutpoints `c`\nmust be ordered.\n;
ordered_probit;~;real;Increment target log probability density with `ordered_probit_lupmf(k | eta, c)`.;
ordered_probit_lpmf;(ints k | vector eta, vectors c);real;The log ordered probit probability mass of k given linear predictors\neta, and cutpoints c.\n;
ordered_probit_lupmf;(ints k | vector eta, vectors c);real;The log ordered probit probability mass of k given linear predictors\neta, and cutpoints c dropping constant additive terms.\n;
ordered_probit_lpmf;(ints k | real eta, vectors c);real;The log ordered probit probability mass of k given linear predictor eta, and cutpoints c.\n;
ordered_probit_lupmf;(ints k | real eta, vectors c);real;The log ordered probit probability mass of k given linear predictor eta, and cutpoints c dropping constant additive terms.\n;
ordered_probit_rng;(real eta, vector c);int;Generate an ordered probit variate with linear predictor eta and\ncutpoints c may only be used in transformed data and generated quantities blocks\n;
operator+=;(T x, U y);void;`x += y` is equivalent to `x = x + y`.  Defined for all types `T` and `U`\nwhere `T = T + U` is well formed.\n;
operator-=;(T x, U y);void;`x -= y` is equivalent to `x = x - y`.  Defined for all types `T` and `U`\nwhere `T = T - U` is well formed.\n;
operator*=;(T x, U y);void;`x *= y` is equivalent to `x = x * y`.  Defined for all types `T` and `U`\nwhere `T = T * U` is well formed.\n;
operator/=;(T x, U y);void;`x /= y` is equivalent to `x = x / y`.  Defined for all types `T` and `U`\nwhere `T = T / U` is well formed.\n;
operator.*=;(T x, U y);void;`x .*= y` is equivalent to `x = x .* y`.  Defined for all types `T` and `U`\nwhere `T = T .* U` is well formed.\n;
operator./=;(T x, U y);void;`x ./= y` is equivalent to `x = x ./ y`.  Defined for all types `T` and `U`\nwhere `T = T ./ U` is well formed.\n;
dirichlet;~;real;Increment target log probability density with `dirichlet_lupdf(theta | alpha)`.;
dirichlet_lpdf;(vectors theta | vectors alpha);real;The log of the Dirichlet density for simplex(es) `theta` given prior counts\n(plus one) `alpha`\n;
dirichlet_lupdf;(vectors theta | vectors alpha);real;The log of the Dirichlet density for simplex(es) `theta` given prior counts\n(plus one) `alpha` dropping constant additive terms\n;
dirichlet_rng;(vector alpha);vector;Generate a Dirichlet variate with prior counts (plus one) `alpha` may\nonly be used in transformed data and generated quantities blocks\n;
csr_extract_w;(matrix a);vector;Return non-zero values in matrix a see section [compressed row storage](#CSR).\n;
csr_extract_v;(matrix a);array[] int;Return column indices for values in `csr_extract_w(a)` see\n[compressed row storage](#CSR).\n;
csr_extract_u;(matrix a);array[] int;Return array of row starting indices for entries in `csr_extract_w(a)`\nfollowed by the size of `csr_extract_w(a)` plus one see section\n[compressed row storage](#CSR).\n;
csr_extract;(matrix a);tuple(vector, array[] int, array[] int);Return all three components of the CSR representation of the matrix `a` see\nsection [compressed row storage](#CSR).\nThis function is equivalent to `(csr_extract_w(a), csr_extract_v(a), csr_extract_u(a))`.\n;
csr_to_dense_matrix;(int m, int n, vector w, array[] int v, array[] int u);matrix;Return dense $\text{m} \times \text{n}$ matrix with non-zero matrix\nentries w, column indices v, and row starting indices u the vector w\nand array v must be the same size (corresponding to the total number of\nnonzero entries in the matrix), array v must have index values bounded\nby m, array u must have length equal to m + 1 and contain index values\nbounded by the number of nonzeros (except for the last entry, which must\nbe equal to the number of nonzeros plus one). See section\n[compressed row storage](#CSR) for more details.\n;
csr_matrix_times_vector;(int m, int n, vector w, array[] int v, array[] int u, vector b);vector;Multiply the $\text{m} \times \text{n}$ matrix represented by values\nw, column indices v, and row start indices u by the vector b see\n[compressed row storage](#CSR).\n;
num_elements;(vector x);int;The total number of elements in the vector x (same as function `rows`)\n;
num_elements;(row_vector x);int;The total number of elements in the vector x (same as function `cols`)\n;
num_elements;(matrix x);int;The total number of elements in the matrix x. For example, if `x` is a\n$5 \times 3$ matrix, then `num_elements(x)` is 15\n;
rows;(vector x);int;The number of rows in the vector x\n;
rows;(row_vector x);int;The number of rows in the row vector x, namely 1\n;
rows;(matrix x);int;The number of rows in the matrix x\n;
cols;(vector x);int;The number of columns in the vector x, namely 1\n;
cols;(row_vector x);int;The number of columns in the row vector x\n;
cols;(matrix x);int;The number of columns in the matrix x\n;
size;(vector x);int;The size of `x`, i.e., the number of elements\n;
size;(row_vector x);int;The size of `x`, i.e., the number of elements\n;
size;(matrix x);int;The size of the matrix `x`.  For example, if `x` is a\n$5 \times 3$ matrix, then `size(x)` is 15\n;
operator-;(vector x);vector;The negation of the vector x.\n;
operator-;(row_vector x);row_vector;The negation of the row vector x.\n;
operator-;(matrix x);matrix;The negation of the matrix x.\n;
operator-;(T x);T;Vectorized version of `operator-`. If `T x` is a (possibly nested) array of\nmatrix types, `-x` is the same shape array where each individual value is negated.\n;
operator+;(vector x, vector y);vector;The sum of the vectors x and y.\n;
operator+;(row_vector x, row_vector y);row_vector;The sum of the row vectors x and y.\n;
operator+;(matrix x, matrix y);matrix;The sum of the matrices x and y\n;
operator-;(vector x, vector y);vector;The difference between the vectors x and y.\n;
operator-;(row_vector x, row_vector y);row_vector;The difference between the row vectors x and y\n;
operator-;(matrix x, matrix y);matrix;The difference between the matrices x and y\n;
operator*;(real x, vector y);vector;The product of the scalar x and vector y\n;
operator*;(real x, row_vector y);row_vector;The product of the scalar x and the row vector y\n;
operator*;(real x, matrix y);matrix;The product of the scalar x and the matrix y\n;
operator*;(vector x, real y);vector;The product of the scalar y and vector x\n;
operator*;(vector x, row_vector y);matrix;The product of the vector x and row vector y\n;
operator*;(row_vector x, real y);row_vector;The product of the scalar y and row vector x\n;
operator*;(row_vector x, vector y);real;The product of the row vector x and vector y\n;
operator*;(row_vector x, matrix y);row_vector;The product of the row vector x and matrix y\n;
operator*;(matrix x, real y);matrix;The product of the scalar y and matrix x\n;
operator*;(matrix x, vector y);vector;The product of the matrix x and vector y\n;
operator*;(matrix x, matrix y);matrix;The product of the matrices x and y\n;
operator+;(vector x, real y);vector;The result of adding y to every entry in the vector x\n;
operator+;(real x, vector y);vector;The result of adding x to every entry in the vector y\n;
operator+;(row_vector x, real y);row_vector;The result of adding y to every entry in the row vector x\n;
operator+;(real x, row_vector y);row_vector;The result of adding x to every entry in the row vector y\n;
operator+;(matrix x, real y);matrix;The result of adding y to every entry in the matrix x\n;
operator+;(real x, matrix y);matrix;The result of adding x to every entry in the matrix y\n;
operator-;(vector x, real y);vector;The result of subtracting y from every entry in the vector x\n;
operator-;(real x, vector y);vector;The result of adding x to every entry in the negation of the vector y\n;
operator-;(row_vector x, real y);row_vector;The result of subtracting y from every entry in the row vector x\n;
operator-;(real x, row_vector y);row_vector;The result of adding x to every entry in the negation of the row\nvector y\n;
operator-;(matrix x, real y);matrix;The result of subtracting y from every entry in the matrix x\n;
operator-;(real x, matrix y);matrix;The result of adding x to every entry in negation of the matrix y\n;
operator/;(vector x, real y);vector;The result of dividing each entry in the vector x by y\n;
operator/;(row_vector x, real y);row_vector;The result of dividing each entry in the row vector x by y\n;
operator/;(matrix x, real y);matrix;The result of dividing each entry in the matrix x by y\n;
operator';(matrix x);matrix;The transpose of the matrix x, written as `x'`\n;
operator';(vector x);row_vector;The transpose of the vector x, written as `x'`\n;
operator';(row_vector x);vector;The transpose of the row vector x, written as `x'`\n;
operator.*;(vector x, vector y);vector;The elementwise product of y and x\n;
operator.*;(row_vector x, row_vector y);row_vector;The elementwise product of y and x\n;
operator.*;(matrix x, matrix y);matrix;The elementwise product of y and x\n;
operator./;(vector x, vector y);vector;The elementwise quotient of y and x\n;
operator./;(vector x, real y);vector;The elementwise quotient of y and x\n;
operator./;(real x, vector y);vector;The elementwise quotient of y and x\n;
operator./;(row_vector x, row_vector y);row_vector;The elementwise quotient of y and x\n;
operator./;(row_vector x, real y);row_vector;The elementwise quotient of y and x\n;
operator./;(real x, row_vector y);row_vector;The elementwise quotient of y and x\n;
operator./;(matrix x, matrix y);matrix;The elementwise quotient of y and x\n;
operator./;(matrix x, real y);matrix;The elementwise quotient of y and x\n;
operator./;(real x, matrix y);matrix;The elementwise quotient of y and x\n;
operator.^;(vector x, vector y);vector;The elementwise power of y and x\n;
operator.^;(vector x, real y);vector;The elementwise power of y and x\n;
operator.^;(real x, vector y);vector;The elementwise power of y and x\n;
operator.^;(row_vector x, row_vector y);row_vector;The elementwise power of y and x\n;
operator.^;(row_vector x, real y);row_vector;The elementwise power of y and x\n;
operator.^;(real x, row_vector y);row_vector;The elementwise power of y and x\n;
operator.^;(matrix x, matrix y);matrix;The elementwise power of y and x\n;
operator.^;(matrix x, real y);matrix;The elementwise power of y and x\n;
operator.^;(real x, matrix y);matrix;The elementwise power of y and x\n;
dot_product;(vector x, vector y);real;The dot product of x and y\n;
dot_product;(vector x, row_vector y);real;The dot product of x and y\n;
dot_product;(row_vector x, vector y);real;The dot product of x and y\n;
dot_product;(row_vector x, row_vector y);real;The dot product of x and y\n;
columns_dot_product;(vector x, vector y);row_vector;The dot product of the columns of x and y\n;
columns_dot_product;(row_vector x, row_vector y);row_vector;The dot product of the columns of x and y\n;
columns_dot_product;(matrix x, matrix y);row_vector;The dot product of the columns of x and y\n;
rows_dot_product;(vector x, vector y);vector;The dot product of the rows of x and y\n;
rows_dot_product;(row_vector x, row_vector y);vector;The dot product of the rows of x and y\n;
rows_dot_product;(matrix x, matrix y);vector;The dot product of the rows of x and y\n;
dot_self;(vector x);real;The dot product of the vector x with itself\n;
dot_self;(row_vector x);real;The dot product of the row vector x with itself\n;
columns_dot_self;(vector x);row_vector;The dot product of the columns of x with themselves\n;
columns_dot_self;(row_vector x);row_vector;The dot product of the columns of x with themselves\n;
columns_dot_self;(matrix x);row_vector;The dot product of the columns of x with themselves\n;
rows_dot_self;(vector x);vector;The dot product of the rows of x with themselves\n;
rows_dot_self;(row_vector x);vector;The dot product of the rows of x with themselves\n;
rows_dot_self;(matrix x);vector;The dot product of the rows of x with themselves\n;
tcrossprod;(matrix x);matrix;The product of x postmultiplied by its own transpose, similar to the\ntcrossprod(x) function in R. The result is a symmetric matrix\n$\text{x}\,\text{x}^{\top}$.\n;
crossprod;(matrix x);matrix;The product of x premultiplied by its own transpose, similar to the\ncrossprod(x) function in R. The result is a symmetric matrix\n$\text{x}^{\top}\,\text{x}$.\nThe following functions all provide shorthand forms for common\nexpressions, which are also much more efficient.\n;
quad_form;(matrix A, matrix B);matrix;The quadratic form, i.e., `B' * A * B`.\n;
quad_form;(matrix A, vector B);real;The quadratic form, i.e., `B' * A * B`.\n;
quad_form_diag;(matrix m, vector v);matrix;The quadratic form using the column vector v as a diagonal matrix,\ni.e., `diag_matrix(v) * m * diag_matrix(v)`.\n;
quad_form_diag;(matrix m, row_vector rv);matrix;The quadratic form using the row vector rv as a diagonal matrix, i.e.,\n`diag_matrix(rv) * m * diag_matrix(rv)`.\n;
quad_form_sym;(matrix A, matrix B);matrix;Similarly to quad_form, gives `B' * A * B`, but additionally checks if\nA is symmetric and ensures that the result is also symmetric.\n;
quad_form_sym;(matrix A, vector B);real;Similarly to quad_form, gives `B' * A * B`, but additionally checks if\nA is symmetric and ensures that the result is also symmetric.\n;
trace_quad_form;(matrix A, matrix B);real;The trace of the quadratic form, i.e., `trace(B' * A * B)`.\n;
trace_gen_quad_form;(matrix D,matrix A, matrix B);real;The trace of a generalized quadratic form, i.e., `trace(D * B' * A *\nB).`\n;
multiply_lower_tri_self_transpose;(matrix x);matrix;The product of the lower triangular portion of x (including the\ndiagonal) times its own transpose that is, if `L` is a matrix of the\nsame dimensions as x with `L(m,n)` equal to `x(m,n)` for $\text{n}\n\leq \text{m}$ and `L(m,n)` equal to 0 if $\text{n} > \text{m}$, the\nresult is the symmetric matrix $\text{L}\,\text{L}^{\top}$. This is a\nspecialization of tcrossprod(x) for lower-triangular matrices. The\ninput matrix does not need to be square.\n;
diag_pre_multiply;(vector v, matrix m);matrix;Return the product of the diagonal matrix formed from the vector v and\nthe matrix m, i.e., `diag_matrix(v) * m`.\n;
diag_pre_multiply;(row_vector rv, matrix m);matrix;Return the product of the diagonal matrix formed from the vector rv\nand the matrix m, i.e., `diag_matrix(rv) * m`.\n;
diag_post_multiply;(matrix m, vector v);matrix;Return the product of the matrix m and the diagonal matrix formed from\nthe vector v, i.e., `m * diag_matrix(v)`.\n;
diag_post_multiply;(matrix m, row_vector rv);matrix;Return the product of the matrix `m` and the diagonal matrix formed\nfrom the the row vector `rv`, i.e., `m * diag_matrix(rv)`.\n;
log_sum_exp;(vector x);real;The natural logarithm of the sum of the exponentials of the elements\nin x\n;
log_sum_exp;(row_vector x);real;The natural logarithm of the sum of the exponentials of the elements\nin x\n;
log_sum_exp;(matrix x);real;The natural logarithm of the sum of the exponentials of the elements\nin x\n;
min;(vector x);real;The minimum value in x, or $+\infty$ if x is empty\n;
min;(row_vector x);real;The minimum value in x, or $+\infty$ if x is empty\n;
min;(matrix x);real;The minimum value in x, or $+\infty$ if x is empty\n;
max;(vector x);real;The maximum value in x, or $-\infty$ if x is empty\n;
max;(row_vector x);real;The maximum value in x, or $-\infty$ if x is empty\n;
max;(matrix x);real;The maximum value in x, or $-\infty$ if x is empty\n;
sum;(vector x);real;The sum of the values in x, or 0 if x is empty\n;
sum;(row_vector x);real;The sum of the values in x, or 0 if x is empty\n;
